Date,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Days since last reported case,Total global cases,Total new cases
20/02/2020,3,0,0,0,,75748,548
21/02/2020,3,0,0,0,0,76769,1021
22/02/2020,9,6,0,0,0,77794,599
23/02/2020,76,67,2,2,0,78811,1017
24/02/2020,124,48,2,0,0,79331,715
25/02/2020,229,105,6,4,0,80239,908
26/02/2020,322,93,11,5,0,81109,871
27/02/2020,400,78,12,1,0,82294,1185
28/02/2020,650,250,17,5,0,83652,1358
29/02/2020,888,238,21,4,0,85403,1753
01/03/2020,1128,240,29,8,0,87137,1739
02/03/2020,1689,561,35,6,0,88948,1806
03/03/2020,2036,347,52,17,0,90869,1922
04/03/2020,2502,466,80,28,0,93090,2223
05/03/2020,3089,587,107,27,0,95333,2241
06/03/2020,3858,769,148,41,0,98192,2873
07/03/2020,4636,778,197,49,0,101927,3735